cz,cz_name,cz_pop2000,cz_pop_black2000,cz_pop_hisp2000,cz_pop_white2000,kfr_pooled_p25,kfr_black_pooled_p25,kfr_white_pooled_p25,kir_black_female_p25,kir_black_female_p75,kir_black_male_p25,kir_black_male_p75,kir_hisp_female_p25,kir_hisp_female_p75,kir_hisp_male_p25,kir_hisp_male_p75,kir_white_female_p25,kir_white_female_p75,kir_white_male_p25,kir_white_male_p75
100,Johnson City,576081,12006,5349,551309,36.71,30.91,37.56,36.9,48.08,33.89,49.95,33.82,44.71,40.14,54.4,33.37,48.12,39.96,57.62
200,Morristown,227816,4506,5351,214507,36.71,32.56,37.56,36.09,50.49,39,53.14,31.98,43.16,43.04,48.52,34.06,47.24,39.96,57.2
301,Middlesborough,66708,977,411,64439,37.6,35.01,38.38,41.13,54.95,33.46,47.27,22.2,25.19,47.7,64.27,33.63,47.76,39.96,52.84
302,Knoxville,727600,41011,8492,661477,36.71,29.64,38.38,36.75,47.54,34.4,49.48,35.06,46.89,44.81,58.56,33.63,47.9,40.88,58.31
401,Winston-Salem,493180,85582,28599,369663,35.83,30.91,39.74,39.54,50.93,35.82,50.15,37.76,47.11,44.08,59.53,35.29,50.66,42.05,58.86
402,Martinsville,92753,20759,2723,68090,36.91,33.01,39.74,40.64,54.77,37.88,50.31,35.89,35.08,48.8,57.17,35.88,50.95,42.05,59.57
500,Greensboro,1055133,229554,42842,754019,35.4,31.01,39.74,39.31,51.65,36.37,51.03,37.7,44.56,43.47,55.81,35.66,50.1,42.93,59.08
601,North Wilkesboro,90016,2874,2852,83417,37.74,31.52,39.06,40.49,47.72,34.4,45.92,37.14,44.31,43.19,57.79,36,50.74,39.96,57.2
602,Galax,64676,1873,2043,60200,38.7,29.9,40.02,35.5,44.24,33.89,57.51,39.89,38.57,42.38,64.87000000000001,35.66,51.44,41.49,58.64
700,Spartanburg,354533,73565,8923,264424,35.25,31.46,38.68,39.9,51.2,40.06,54.11,37.29,46.61,43.97,54.06,34.18,49.26,42.93,59.25
800,Gastonia,413331,56948,11944,337526,34.81,30.56,37.56,38.8,49.01,37.04,50.04,36.04,48.65,44.62,54.4,33.37,48.25,40.88,58.49
900,Charlotte,1423942,323705,70398,981971,35.83,31.11,40.97,40.64,52.77,37.45,50.41,39.24,48.79,45.93,56.11,36.5,50.34,44.7,60.35
1001,Boone,77361,1691,1185,73462,39.51,33.15,40.6,29.11,46.7,37.52,43.52,38.13,53.63,41.41,65.36,36.27,50.95,41.49,57.62
1002,Morganton,164760,7803,5183,146343,36.91,31.6,37.56,38.38,51.09,37.79,53.25,38.2,52.11,46.79,61.19,34.37,48.69,39.96,52.84
1100,Hickory,375363,34108,14836,316222,35.4,30.4,37.56,37.93,47.22,37.04,49.67,37.7,45.74,45.43,53.32,34.06,48.86,40.88,58.31
1201,Franklin,44861,471,1137,42651,40.11,42.37,41.13,59.97,43.08,36.37,24.02,40.75,52.64,37.63,60.72,37.44,47.4,42.53,58.86
1202,Sylva,54082,776,828,43940,38.9,35.69,41.42,32.63,66.15000000000001,40.14,60.85,47.76,36.42,43.81,50.32,36.9,49.86,43.62,58.07
1203,Asheville,398505,20058,11937,359018,38.2,31.06,40.23,38.27,45.83,36.44,49.02,36.63,44.71,44.81,54.06,36.33,49.07,42.93,58.07
1204,Andrews,59681,558,596,57407,39.96,27.57,41.29,29.11,48.23,31.47,24.02,45.53,46.08,43.61,64.53,37.21,48.86,41.49,58.31
1301,Bennettsville,71586,28603,1176,39939,33.99,31.6,39.4,38.27,52.06,40.42,54.33,38.7,56.55,45.06,60.56,34.06,49.94,43.86,59.38
1302,Florence,548986,187078,9463,343427,35.25,31.92,40.79,39.02,50.49,39.69,53.03,38.51,47.95,42.84,53.02,36.65,49.86,44.36,59.45
1400,Fayetteville,644101,192287,36848,335569,33.99,31.26,39.06,38.8,51.02,36.61,50.75,39.09,47.85,43.47,56.91,35.39,48.95,42.53,58.64
1500,Wilmington,361559,76067,9199,267663,35.56,31.06,40.23,39.08,50.25,36.61,49.28,38.36,49.6,40.14,48.52,36,48.95,43.86,57.2
1600,Wilson,216840,90181,8950,114662,34.32,31.52,42.13,39.9,52.77,38.14,52.11,36.79,52.33,45.31,56.41,38.44,52.46,44.22,60.22
1701,Raleigh,1412127,325014,86328,941943,36.61,31.77,43.27,40.32,53.63,36.81,51.44,39.02,50.73,45.56,55.81,38.38,51.98,46.23,61.02
1702,Henderson,62926,31420,2274,27590,33.44,31.52,38.68,40.38,55.83,36.05,50.15,37.14,50.09,38.59,62.94,36.08,50.2,40.88,58.86
1800,Goldsboro,222553,69217,19507,129040,36.33,32.77,42.24,39.14,52.45,39.69,50.31,36.52,48.9,45.36,55.24,36.99,51.98,46.03,59.38
1900,Jacksonville,536909,137509,23679,359912,36.33,31.77,41.74,39.02,52.36,37.21,51.37,39.16,47.22,43.97,58.04,36.8,49.63,44.7,59.71
2000,Virginia Beach,1119468,345021,34425,680506,37.6,33.57,42.83,41.21,52.58,39.23,53.46,40.48,49.51,47.35,60.34,38.31,51.32,46.73,61.38
2100,Washington,124216,35729,3241,83791,36.61,32.05,43.36,38.61,48.5,39.23,50.87,35.06,47.11,43.47,58.22,39.15,51.23,45.38,59.45
2200,South Boston,158234,63019,2107,91196,36.61,33.07,43.36,41.37,54.95,38.35,54.01,39.4,51.91,36.7,51.11,38.72,54.23,45.89,61.25
2300,Lynchburg,228616,41311,2177,180489,38.57,32.13,42.83,39.72,53.29,35.82,51.37,35.89,45.74,47.4,55.81,37.55,51.05,46.03,62.39
2400,Richmond,1040192,314699,23654,664034,37.18,32.68,44.52,42.22,55.28,37.62,52.19,42.32,52.8,46.92,58.14,40.07,53.44,48.24,62.86
2500,Newport News,570854,180274,15651,351447,37.88,34.06,43.54,41.21,54.77,40.87,54.74,41.06,48.55,47.35,58.14,38.44,51.79,47.34,62.69
2600,Roanoke Rapids,139055,78821,1481,55173,34.81,32.29,43.54,39.96,51.3,39.99,54.47,37.81,50.09,43.81,62.94,37.8,54.01,47.22,62.6
2700,Gulfport,458674,83554,9761,350300,38.42,31.82,42.24,38.94,52.02,38.77,52.53,39.73,47.85,48.68,58.81,34.84,47.54,47.51,60.8
2800,Laurel,120505,38338,1618,79556,38.42,32.62,46.02,38.44,49.13,42.11,53.9,36.79,38.57,47.85,64.27,33.9,46.75,50.35,66.26000000000001
2900,Hattiesburg,157181,46786,1722,106539,38.33,32.44,44.37,38.2,49.86,40.78,55.83,34.36,41.36,50.76,52.37,34.18,47.4,48.9,62.77
3001,Kosciusko,41270,24676,474,15764,36.71,33.34,48.29,40.1,56.08,42.9,55.07,32.51,39.1,41.41,52.67,37.1,50.95,52,67.12000000000001
3002,Yazoo City,39355,23029,1401,14564,33.99,30.15,45.72,37.84,49.86,38.26,51.76,40.96,55.5,39.53,60.34,39.31,51.79,50.66,62.6
3003,Jackson,546560,242964,6990,288459,35.4,31.88,45.15,40.19,52.77,38.62,52.11,37.29,54.03,42.61,60.03,37.29,50.49,47.86,62.69
3101,McComb,103602,45903,801,55950,38.06,33.89,46.71,38.61,51.93,42.22,58.68,38.7,51.31,46.4,56.91,34.97,47.24,51.81,64.61
3102,Brookhaven,46424,14040,318,31701,39.21,33.47,46.47,38.15,46.92,42.61,52.86,30.69,47.85,44.62,62.51,31.88,43.88,51.54,66.77
3201,Jena,25202,4674,218,20010,44.09,33.64,48.94,38.84,52.84,43.08,58.68,46.25,46.22,55.5,50.32,32.86,47.9,52.96,70.65000000000001
3202,Natchez,69653,32289,701,36001,38.2,33.22,47.52,40.45,51.97,41.02,50.67,35.21,44.13,44.62,49.36,36.8,49.63,53.16,66.51000000000001
3203,Vicksburg,84943,47865,960,35182,34.32,31.92,43.27,38.67,52.36,40.35,51.25,31.4,47.22,46.4,62.51,36.65,50.34,48.4,61.02
3300,New Orleans,1381652,512350,58879,760910,37.88,33.22,45.15,40.68,52.97,41.6,55.83,43.69,52.49,50.76,62.22,39.41,53.08,50.12,64.61
3400,Houma,271365,54052,4351,199101,42.67,32.56,49.84,37.22,47.54,42.36,55.18,33.59,46.22,51.5,63.63,33.9,49.79,57.66,70.25
3500,Baton Rouge,806561,268308,13118,507432,38.7,33.47,46.85,40.79,52.45,43.08,56.78,40.61,49.82,50.98,63.05,37.29,51.23,53.84,66.40000000000001
3600,Alexandria,186516,52683,2356,127065,39.11,32.62,46.02,39.77,52.84,40.06,54.01,37.22,52.99,45.93,58.34,35.76,50.1,52.54,63.56
3700,Lake Charles,335960,68914,7715,250423,42.06,34.89,47,40.49,51.3,43.08,57.08,37.52,48.24,46.06,61.03,33.9,46.17,54.19,66.51000000000001
3800,Lafayette,548154,148099,7268,381763,42.28,34.89,48.82,39.85,51.97,44.02,58.68,38.28,49.47,49.84,61.53,36.65,50.34,55.59,67.56
3901,Monroe,253878,85481,2982,162260,37.18,31.16,44.83,39.43,51.47,39.12,50.15,33.59,40.17,44.15,55.61,35.13,50.1,50.12,63.33
3902,Lake Providence,21735,8612,278,12674,39.36,31.2,47.67,38.44,49.13,40.54,53.03,31.4,33.48,53.33,67.41,36.17,49.94,56.39,69.87000000000001
4001,Magnolia,34162,12311,357,21038,36.07,30.91,44.17,36.53,48.38,40.5,55.83,36.04,25.19,56.79,80.40000000000001,36.17,50.26,51.23,66.63
4002,Shreveport,499101,190285,8527,289733,37.18,32.29,45.63,39.49,51.59,40.2,53.03,36.38,48.45,47.11,59.15,35.5,49.72,51.69,64.28
4003,Ruston,74800,26524,733,46193,39.74,33.57,47.79,39.96,50.11,41.42,58.25,43.69,50.34,47.57,60.34,35.39,48.54,53.3,65.38
4004,Many,23459,3934,642,16726,44.25,34.06,50.94,38.02,41.16,43.3,57.36,38.85,46.08,46.14,58.81,34.18,48.63,58.43,69.51000000000001
4101,Crossett,24209,6506,776,16702,36.91,30.05,44.28,36.53,45.61,37.95,44.9,35.06,57.38,50.84,80.40000000000001,34.53,47.4,50.12,63.07
4102,Pine Bluff,168122,70761,3473,91478,35.4,32.38,41.83,40.68,52.45,39.99,54.74,34.04,49.31,49.08,55.44,35.39,50.14,46.23,60.35
4103,El Dorado,89373,30712,993,56505,36.71,32.22,43.12,40.64,54.46,39.5,52.42,37.66,44.31,43.35,42.94,37.29,50.14,47.43,62.95
4200,Little Rock,630854,130432,13005,471478,36.71,31.35,41.57,40.27,52.68,37.36,51.76,36.29,48.24,43.81,57.79,36.65,50.2,44.54,60.35
4301,Stuttgart,40542,10091,366,29579,37.4,32.62,42.62,40.32,50.25,41.14,52.95,38.6,65.24,43.7,59.66,38.85,53.2,46.36,60.35
4302,Searcy,94324,8270,1567,82801,39.96,31.01,42.36,38.02,52.97,37.88,52.42,36.63,48.04,49.27,67.41,34.84,48.75,46.03,61.51
4401,London,144931,1859,1053,140119,37.4,35.01,37.56,36.53,48.87,38.47,65.23,28.57,44.13,43.47,56.41,34.37,48.54,39.96,52.84
4402,Richmond,116256,3185,940,110209,37.88,32.49,38.68,36.65,46.45,36.25,51.88,30.69,46.08,42.61,55.61,32.86,48.8,41.49,57.2
4501,West Liberty,49887,987,291,48205,37.74,38.53,39.06,,,,,,,,,34.64,47.4,39.96,56.77
4502,Hazard,117919,1610,669,114372,37.74,33.74,38.68,41.05,52.77,34.72,45.48,36.72,60.31,37.63,64.87000000000001,32.86,46.17,40.88,52.84
4601,Campbellsville,83451,2026,768,79807,40.93,34.72,41.83,42.61,52.36,40.35,48.65,34.54,51.12,31.8,39.99,37.8,49.79,42.05,56.77
4602,Somerset,123981,1024,1089,120455,37.6,32.29,38.68,31.58,47.54,33.46,35.11,30.69,38.57,44.81,55.44,34.06,49.72,39.96,56.77
4701,Greenwood,84168,44369,1047,37927,33.99,30.76,43.36,37.22,51.97,39.57,52.02,35.38,33.48,35.06,42.94,35.29,50.81,47.22,63.91
4702,Clarksdale,141711,67933,1406,70459,33.44,30.31,41.42,37.84,49.56,37.79,51.88,29.75,49.44,43.04,58.04,37.29,51.7,44.87,61.81
4800,Greenville,146833,96664,1552,47140,28.98,30.24,43.75,38.11,51.88,37.57,49.75,37.7,60.31,40.85,45.49,37.9,52.81,47.86,63.56
4901,Jackson,198166,54212,3328,137969,35.56,31.06,40.6,39.54,51.76,37.57,49.37,38.77,48.55,40.85,57.3,36.08,50.34,43.86,59.25
4902,Dyersburg,92131,26506,1381,63145,34.81,30.05,39.74,38.84,52.97,37.57,51.25,32.95,48.79,44.41,39.99,34.72,48.69,44.22,59.71
4903,Lexington,44884,2570,537,41219,39.51,31.11,41.13,37.07,46.7,38.47,67.70999999999999,39.73,33.48,36.7,53.32,35.13,50.04,43.86,59.08
5000,Tupelo,197774,47582,2613,145703,36.07,31.01,40.97,38.02,47.9,40.35,54.33,37.52,49.97,40.85,54.62,35.29,48.25,44.87,59.57
5100,Corinth,129508,10167,1451,116564,38.33,29.64,40.43,36.53,46.09,36.52,48.86,22.2,33.48,36.7,42.94,34.18,48.69,43.33,59.08
5201,New Albany,54214,10009,931,42795,37.4,32.56,40.43,38.2,49.13,41.85,53.35,34.91,25.19,44.08,60.72,34.84,50.14,44.08,60.04
5202,Memphis,1154338,498591,27681,599514,28.98,29.9,41.57,39.36,51.54,36.61,50.41,37.6,50.09,44.81,57.44,36.4,49,45.5,60.7
5300,West Memphis,138746,65346,2990,68711,33.99,30.56,41.42,38.34,49.56,38.69,52.53,41.74,57.38,47.03,61.69,36.27,50.49,45.5,59.71
5401,Bowling Green,164944,11854,3116,146313,39.21,32.49,40.97,38.67,51.02,38.26,49.28,35.71,49.6,46.4,50.32,34.84,48.54,43.62,59.57
5402,Glasgow,92394,3455,879,87063,41.29,35.86,42.24,41.13,48,39.69,55.56,34.54,43.16,43.04,52.37,36.9,52.36,42.93,59.9
5500,Columbia,159374,16518,3655,136904,38.2,31.88,40.6,40.99,48.08,37.14,49.67,31.4,44.13,42.84,52.37,36.33,47.9,43.33,58.07
5600,Nashville,1246338,190348,40471,975271,37.88,31.92,41.57,41.13,52.84,37.36,50.75,38.51,48.9,46.34,57.56,36.99,49.26,44.7,60.13
5700,Tullahoma,130610,7141,4527,116749,39.51,31.82,40.97,38.2,47.07,37.95,53.46,38.85,46.35,42.38,49.36,36.27,48.75,44.54,60.7
5800,Dickson,138212,8635,1486,126123,38.7,32.22,40.23,38.38,48.65,37.36,45.92,36.18,40.17,43.19,62.94,34.53,48.12,44.22,60.35
5900,Clarksville,252059,45092,10991,185732,38.06,32.49,41.74,39.49,48.5,38.54,51.03,38.85,52.33,45.56,57.3,35.13,48.12,45.65,59.57
6000,Huntsville,519583,90594,11299,398210,36.91,31.16,40.68,38.94,52.58,37.62,50.57,36.29,50.23,45.36,54.06,34.97,47.54,44.08,59.71
6100,Gadsden,304068,19380,10607,267636,38.57,31.82,40.23,38.67,48,39.18,52.02,33.82,40.17,43.19,47.46,34.18,48.34,43.62,60.7
6200,Florence,230941,20756,4369,202792,39.21,32.87,41.29,39.64,54.77,41.14,53.63,39.73,47.11,42.84,55.61,33.37,47.54,45.38,60.9
6301,McMinnville,84309,1829,2775,78659,37.74,31.46,39.06,38.2,45.23,38.84,51.68,37.66,45.88,40.14,45.49,34.37,47.76,41.49,56.77
6302,Cookeville,98362,1114,2159,93473,39.51,29.01,40.43,35.5,53.63,31.47,45.48,36.79,36.42,42.61,48.52,36.27,48.63,40.88,56.77
6401,Chattanooga,490863,65989,7240,406751,36.33,30.84,39.4,39.02,51.59,37.68,51.52,34.04,49.47,43.53,52.67,33.63,47.62,43.62,59.08
6402,Crossville,104194,1094,1280,100485,38.33,32.87,39.4,42.97,33.9,37.21,58.25,32.51,30.85,38.59,48.52,34.37,46.75,42.05,59.38
6501,Ellijay,43254,73,1945,40599,38.57,40.38,40.02,,,,,37.14,51.12,46.34,53.63,35.5,48.25,41.49,52.84
6502,Cleveland,203077,6685,3570,189101,37.6,33.38,38.68,39.58,46.09,38.92,53.35,35.21,45.15,42.38,56.11,33.37,47.24,42.05,57.62
6600,Rome,418304,32550,34862,343812,35.83,30.05,37.56,38.15,48.87,37.68,53.03,38.77,46.22,46.5,56.72,33.9,47.62,42.93,58.49
6700,Tampa,2395997,237387,248642,1821955,37.6,30.4,40.6,39.77,52.36,34.93,48.65,42.45,53.36,45.68,58.99,38.54,51.23,44.22,58.86
6800,Lakeland,598228,74634,66086,442884,36.91,30.76,40.43,38.84,50.93,36.25,46.73,39.09,48.45,47.03,57.17,36.5,49,44.87,59.71
6900,Sarasota,763795,44413,51368,653034,38.7,31.06,42.01,40.38,50.69,35.04,46.73,40.18,52.33,45.06,56.99,39.72,51.23,45.65,59.45
7000,Miami,3955969,756012,1575942,1468908,40.55,34.18,45.4,42.97,52.77,39.12,49.48,47.76,60.31,50.58,62.51,45.02,54.55,48.4,61.51
7100,Port St. Lucie,1533306,197210,188528,1098838,38.2,32.44,43.65,39.72,49.23,38.05,47.98,41.74,52.11,47.85,59.43,41.37,52.2,47.67,60.04
7200,Cape Coral,692265,39019,91338,546956,38.9,32.92,42.72,40.91,50.61,37.57,51.15,41.52,51.81,45.93,58.04,40.56,52.08,47.34,59.9
7300,Palm Bay,589177,48210,29351,492945,38.57,31.06,41.29,39.08,51.47,34.4,49.59,39.4,50.41,44.81,58.22,38.22,48.44,44.36,57.2
7400,Orlando,1697906,226292,274983,1112256,38.42,31.77,42.13,39.96,50.69,36.52,49.02,42.66,51.72,46.92,56.99,38.85,50.34,46.23,59.45
7500,Deltona,563598,56573,35816,457768,38.06,30.15,40.97,38.34,49.7,35.04,47.59,39.73,47.45,45.81,58.04,38.31,48.95,45.05,57.62
7600,Jacksonville,1176696,250632,44207,832657,36.33,31.26,40.23,39.64,50.93,36.94,49.37,40.75,50.23,46.25,57.56,36.5,48.95,44.54,59.25
7700,Lake City,149695,30770,5633,110137,36.61,30.56,40.68,39.02,51.36,36.52,51.88,36.72,47.95,46.79,56.91,35.39,47.62,45.89,59.45
7800,Ocala,377001,32082,18757,318060,38.06,31.01,40.23,38.44,46.09,35.24,49.75,42.66,48.65,45.56,59.3,36.99,48.44,44.08,58.64
7900,Gainesville,320199,55963,15584,234633,36.71,30.24,41.13,38.34,51.54,35.24,48.86,41.52,53.82,46.14,56.56,37.21,50.81,44.7,59.08
8000,Sumter,209914,92326,3628,110300,35.83,32.87,42.62,40.19,51.65,40.63,56.78,39.02,50.94,49.08,63.9,36.9,49.4,46.5,60.35
8100,Columbia,722201,265148,17130,422217,35.4,32.38,41.9,40.79,53.87,40.29,52.95,40.48,51.57,45.56,58.22,37.21,50.95,45.89,60.7
8201,Barnwell,72733,40068,1173,30758,33.44,31.69,41.29,39.81,51.47,39.29,51.25,30.69,30.85,48.04,58.89,35.13,50.88,45.89,62.5
8202,Charleston,587297,184164,13642,372515,37.18,34.06,42.49,42.22,52.27,41.02,52.95,40.96,46.35,45.43,58.66,37.55,50.14,46.36,59.9
8300,Greenville,894291,161784,23113,692104,36.07,31.98,39.06,40.32,51.2,40.78,53.35,38.2,49.51,45.81,58.45,33.9,48.12,42.53,59.25
8401,Aiken,525842,187744,12308,310210,35.25,31.98,40.79,39.72,51.3,39.29,50.67,40.38,47.69,45.36,55.44,34.64,48.95,45.65,60.04
8402,Washington,35518,15055,732,19347,34.81,31.26,41.83,39.43,51.97,39,50.67,29.75,47.76,39.53,55.44,36.9,50.66,45.65,60.9
8501,Fitzgerald,27415,8228,1002,17920,36.07,30.15,42.13,35.5,49.23,39.61,52.42,34.04,49.6,52.71,91.36,37.73,49.79,47.43,60.8
8502,Cordele,42098,18281,1058,22238,33.99,30.24,39.4,36.09,45.83,38.69,54.24,28.57,43.16,53.86,49.36,35.5,51.7,43.86,58.64
8503,Valdosta,241530,70437,12428,154051,34.81,29.9,40.79,36.9,49.23,36.37,50.04,34.91,45.88,44.26,57.67,35.88,49.63,44.36,59.38
8601,Waycross,113122,26285,5281,80101,36.61,30.56,40.79,36.35,48.08,38.14,50.31,38.6,43.56,50.58,60.15,35.5,49.4,45.38,59.57
8602,Brunswick,93044,22261,2270,66885,35.25,31.92,39.06,37.84,46.45,40.35,49.18,31.98,40.69,43.81,57.3,34.97,47.02,42.53,57.2
8701,Hinesville,131279,44214,9413,73311,36.07,33.15,40.02,39.36,51.54,40.63,50.57,38.43,53.36,49.42,56.91,34.64,47.76,44.36,59.45
8702,Statesboro,111346,36189,3113,70637,35.56,30.91,41.9,38.51,48.38,38.26,51.68,29.75,39.72,42.84,66.04000000000001,35.29,49.94,46.23,60.7
8800,Savannah,434615,141094,15797,266284,35.56,31.69,42.01,39.64,48.65,39.18,51.37,38.85,46.35,48.26,56.26,36.57,49.72,46.59,60.6
8900,Macon,386870,139280,7787,231211,34.32,31.2,40.68,39.02,50.93,37.88,51.76,37.14,47.95,42.38,59.43,35.76,48.54,44.36,59.08
9001,Vidalia,108438,28226,4785,74419,36.07,31.26,40.23,38.15,49.23,38.77,52.38,36.38,49,43.81,53.32,35.66,50.34,45.2,61.25
9002,Milledgeville,83808,36900,1169,44425,28.98,30.4,38.38,38.84,47.36,38.62,47.27,34.04,54.03,45.06,61.85,36.08,49.86,42.05,56.77
9003,Dublin,74610,29781,741,43126,34.81,31.16,40.97,38.94,51.09,38.92,49.95,31.98,53.63,31.8,54.62,34.53,48.69,44.36,59.38
9100,Atlanta,3798017,1127208,259618,2214005,35.56,31.52,42.83,40.27,51.93,37.68,49.48,40.96,51.57,46.4,58.89,37.8,50.57,46.59,61.81
9200,Griffin,135136,38177,1890,93105,34.81,29.9,39.4,37.56,47.9,38.77,52.66,37.7,45.35,43.35,68.64,34.18,47.24,43.62,58.31
9301,Winder,212223,38246,9410,157080,35.83,30.66,40.79,39.36,51.93,38.69,52.38,38.28,45.88,45.2,58.14,35.76,50.1,43.62,58.86
9302,Toccoa,89228,15550,1122,71329,37.6,31.52,40.97,38.44,47.07,39,53.63,35.89,52.8,46.5,31.96,35.5,49,44.22,58.49
9400,Gainesville,272150,15845,32773,217183,38.06,31.92,41.13,39.77,52.36,37.95,50.57,37.22,48.15,47.2,53.02,36,48.01,43.62,58.49
9500,Talladega,148252,42060,1465,103099,36.07,32.87,40.02,40.19,50.34,43.3,54.74,34.54,39.49,44.62,51.95,34.72,48.8,44.08,61.1
