par_pctile,count_pooled,count_aian_pooled,count_asian_pooled,count_black_pooled,count_hisp_pooled,count_white_pooled,density_aian_pooled,density_asian_pooled,density_black_pooled,density_hisp_pooled,density_white_pooled,kfr_aian_pooled,kfr_asian_pooled,kfr_black_female,kfr_black_male,kfr_black_pooled,kfr_hisp_pooled,kfr_nativemom_aian_pooled,kfr_nativemom_asian_pooled,kfr_nativemom_black_pooled,kfr_nativemom_hisp_pooled,kfr_nativemom_white_pooled,kfr_pooled,kfr_white_female,kfr_white_male,kfr_white_pooled,kid_college_black_female,kid_college_black_male,kid_college_white_female,kid_college_white_male,kid_hours_black_female,kid_hours_black_male,kid_hours_white_female,kid_hours_white_male,kid_jail_black_female,kid_jail_black_male,kid_jail_white_female,kid_jail_white_male,kid_married_black_pooled,kid_married_white_pooled,kid_no_hs_black_female,kid_no_hs_black_male,kid_no_hs_white_female,kid_no_hs_white_male,kid_pos_hours_black_female,kid_pos_hours_black_male,kid_pos_hours_white_female,kid_pos_hours_white_male,kid_wage_rank_black_female,kid_wage_rank_black_male,kid_wage_rank_white_female,kid_wage_rank_white_male,kir_black_female,kir_black_male,kir_black_pooled,kir_white_female,kir_white_male,kir_white_pooled,kir_1par_black_male,kir_1par_white_male,kir_2par_black_male,kir_2par_white_male,kir_par_nohome_black_male,kir_par_nohome_white_male,spouse_rank_black_female,spouse_rank_black_male,spouse_rank_white_female,spouse_rank_white_male
1,213100,3300,9100,59500,34900,69000,1.996,1.328,2.161,1.335,.5115,23.8,51.71,27.81,22.55,25.2,35.02,24.42,47,25.1,32.57,34.86,32.43,36.4,33.93,35.13,37.31,24.2,42.79,30.1,21.6,17.01,21.57,27.55,1.357,21.21,1.083,6.462,9.26,35.47,32.5,41.71,26.56,33.37,68.98,53.84,68.01000000000001,75.05,31.16,34.18,35.59,41.75,33.84,29.45,31.66,32.75,38.73,35.84,29.18,37.54,32.97,41.18,29.42,36.76,34.37,27.42,47.18,37.86
2,213100,3000,8900,55500,39900,69000,1.814,1.3,2.016,1.527,.5115,25.51,52.45,28.57,23.35,25.97,36.14,25.47,41.62,25.23,34.06,36.68,33.88,38.04,35.61,36.79,40.56,24.67,44.65,32.93,22.05,18.38,21.5,29.4,1.215,19.61,1.049,5.897,9.773999999999999,36.97,30.25,41.83,26.06,32.15,69.68000000000001,55.57,67.72,77.29000000000001,31.82,35.25,37.09,41.57,34.69,30.66,32.7,34.02,40.65,37.44,30.25,39.61,35.02,42.54,29.32,39.03,34.87,27.35,48.29,38.36
3,213100,2900,8900,54000,40400,72000,1.755,1.3,1.961,1.546,.5338000000000001,26.19,52.24,29.31,24.18,26.8,37.02,25.51,41.84,26.46,34.34,37.44,34.7,38.53,36.36,37.4,41.89,25.5,45.87,34.78,22.25,18.1,22.7,29.25,1.106,17.79,.9658,5.956,10.32,37.81,28.05,39.93,23.89,29.9,70.11,54.33,72.01000000000001,78.68000000000001,32.61,35.91,36.11,40.25,35.61,31.7,33.69,34.27,41.39,37.93,31.23,40.27,35.7,43.2,31.26,39.04,35.11,27.56,48.7,38.79
4,213100,2800,8900,53000,41900,73500,1.694,1.3,1.925,1.603,.545,26.71,52.43,29.76,24.69,27.27,37.44,28.27,45.73,26.97,35.46,38.2,35.31,39.2,37.06,38.09,42.15,28.02,46.34,34.47,23.14,19.2,22.25,29.82,.9857,17.71,.9214,5.563,10.45,38.31,27.93,39.12,23.46,30.31,72.26000000000001,58.52,69.56,78.70999999999999,33.9,34.55,36.4,41.36,36.11,32.36,34.27,35,42.2,38.72,32.02,41.34,35,43.47,32.16,40.97,35.19,27.59,48.94,39.27
5,213100,2900,8900,52000,42400,75000,1.755,1.3,1.889,1.623,.5561,27.22,53.29,30.19,25.29,27.78,37.81,27.52,42.22,27.59,35.61,38.67,35.84,39.71,37.4,38.53,42.89,27.68,46.19,32.95,23.52,18.73,22.68,31.11,1.118,16.52,.895,5.452,10.81,38.97,27.53,38.38,23.11,29.61,73.61,55.65,70.44,81.94,33.54,38.81,36.85,40.75,36.63,33.02,34.86,35.36,42.38,38.97,32.63,41.52,36,43.56,32.38,40.56,35.14,28,49.54,39.5
6,213100,2900,8900,51500,43400,75000,1.755,1.3,1.871,1.661,.5561,27.23,53.02,30.31,25.69,28.06,38.36,28.45,45.34,27.78,36.4,38.9,36.23,39.85,37.97,38.88,42.75,27.98,47.79,34.52,23.6,19.63,22.64,31.12,.9488,16.52,.8586,5.089,10.98,39.44,26.87,39.38,22.65,28.61,73.75,59.54,70.7,81.40000000000001,33.47,34.59,35.96,41.34,36.55,33.56,35.11,35.52,43.01,39.35,33.15,42.15,36.46,44.16,32.63,41.09,35.56,27.93,49.53,39.85
7,213100,2700,8800,50500,44400,76500,1.634,1.286,1.834,1.699,.5672,28.4,53.7,30.64,26.01,28.39,38.56,28.93,47.29,28.18,36.05,39.5,36.77,40.59,38.54,39.54,42.66,28.73,48.4,35.34,23.27,20.51,22.68,31.12,.9248,15.98,.7544,4.753,11.26,39.98,26.47,37.49,22.25,28.5,73.95,61.12,70.36,80.73,33.88,35.59,35.96,42.4,37,33.81,35.45,35.9,43.61,39.84,33.4,42.75,36.47,44.72,33.72,41.8,35.72,28.32,50.09,40.06
8,213100,2700,8600,51000,44400,76500,1.634,1.255,1.853,1.699,.5672,28.73,53.59,30.87,26.49,28.77,38.88,28.93,46.99,28.45,36.34,39.59,36.91,40.56,38.68,39.61,45.22,29.11,48.36,36.11,23.23,20.69,22.65,31.26,.8373,15.3,.7594,4.799,11.38,40.15,25.4,38.03,21.76,28.34,72.52,61.77,71.23,81.11,33.51,36.23,36.5,42.7,37.29,34.43,35.93,36.06,43.75,39.98,33.92,42.97,37.58,44.74,33.29,42.09,35.75,28.29,50.12,40.22
9,213100,2700,8300,50500,44400,78000,1.634,1.212,1.834,1.699,.5782000000000001,28.89,53.6,31.34,26.59,29.04,39.34,29.18,43.2,28.82,36.77,40.5,37.35,40.93,39.31,40.11,45.63,27.8,48.58,36.04,24.45,21.26,22.8,32.04,.865,15.22,.6911000000000001,4.561,11.75,41.03,24.45,38.09,21.23,27.57,75.09,63,70.38,82.58,34.86,35.7,36.73,42.07,37.72,34.68,36.25,36.15,44.31,40.29,34.22,43.11,37.4,45.72,33.84,43.06,36.05,28.3,50.52,40.72
10,213100,2600,8100,51000,44900,78500,1.572,1.182,1.853,1.717,.582,29.13,53.2,31.47,27.01,29.32,39.44,28.05,44.83,29.26,36.95,40.9,37.64,41.68,39.71,40.68,46.73,29.56,50.21,35.96,24.97,21.73,23.23,31.38,.7294000000000001,14.8,.6725,4.505,11.67,41.68,23.55,35.64,19.94,27.61,75.04000000000001,64.3,72.33,81.78,33.97,36.06,37.75,41.61,37.97,35.22,36.65,36.72,44.63,40.75,34.72,43.63,38.11,45.78,34.95,43.15,36.02,28.43,51.07,41.09
11,213100,2600,7900,51000,44900,79000,1.572,1.154,1.853,1.717,.5857,29.14,54.39,31.66,27.32,29.59,39.79,29.29,48.44,29.38,38.06,41.12,37.93,42.04,39.74,40.86,45.93,30.63,51.09,36.32,24.47,21.86,23.98,32.15,.7276,13.9,.6504,4.452,12.02,41.29,24.76,35.5,20.81,27.09,74.11,63.97,73.31,83.79000000000001,35.27,36.34,38.34,42.52,38.26,35.5,36.93,37.09,44.75,41.02,35.18,43.92,37.26,45.66,35.19,42.93,36.11,28.68,50.98,40.9
12,213100,2500,7700,51000,44900,80000,1.513,1.125,1.853,1.717,.5932,30.38,53.75,31.93,27.57,29.83,40,30.15,46.79,29.54,37.85,41.3,38.17,42.18,40.15,41.15,46.81,29.07,51.4,37.34,24.88,20.68,23.68,32.06,.7483,14.09,.654,4.332,12.09,41.7,22.73,34.73,19.76,26.12,76.55,61,72.31,83.40000000000001,35,35.15,38.02,42.43,38.27,35.9,37.13,37.13,45.1,41.15,35.52,44.38,37.99,45.87,35.91,43.45,36.41,28.59,51.21,41.3
13,213100,2600,7500,51500,44900,80500,1.572,1.095,1.871,1.717,.5968,29.72,55.02,32.11,28.09,30.15,40.29,30.17,49.79,29.81,39.17,41.93,38.54,42.72,40.53,41.62,49.23,30.88,51.84,37.44,24.88,21.43,24.34,32.63,.6618000000000001,13.56,.6856,4.084,12.42,42.27,22.07,34.93,19.61,25.38,75.7,61.35,73.7,83.25,34.73,34.7,38.47,43.06,38.76,36.43,37.63,37.47,45.49,41.51,35.97,44.86,38.82,46.17,35.31,43.92,36.02,28.95,51.71,41.47
14,213100,2400,7400,51500,44400,81500,1.452,1.08,1.871,1.699,.6043,30.71,55.15,32.36,27.93,30.26,40.65,30.59,48.86,29.79,38.43,42.56,38.85,43.11,41.04,42.06,48.32,31.35,51.66,37.95,24.81,21.22,24.18,33.2,.6585,13.42,.5588,3.854,12.63,42.7,22.23,35.34,18.68,25.26,75.83,62.35,73.7,84.52,35.93,37.2,38.23,43.38,38.86,36.2,37.59,37.72,46.05,41.95,35.67,45.18,39.18,46.93,36,44.2,36.34,28.88,52.06,41.68
15,213100,2400,7400,51000,44400,82500,1.452,1.08,1.853,1.699,.6116,29.94,55.01,32.65,28.29,30.56,40.77,30.22,43.95,30.39,38.65,42.79,39.11,43.3,41.27,42.29,46.95,30.29,52.61,38.54,26.43,21.92,24.76,33.51,.629,13.31,.5591,3.878,12.64,42.86,21.78,34.4,18.27,24.51,78.34,63.84,74.84999999999999,85.2,34.97,36.68,37.95,43.72,39.23,36.59,37.97,37.9,46.2,42.09,36.15,45.49,38.91,46.91,36.23,45.55,36.4,29.04,52.09,42
16,213100,2400,7600,51000,44400,83500,1.452,1.11,1.853,1.699,.619,31.03,55.36,32.89,28.32,30.7,41.04,30.62,47.31,30.29,39.38,43.5,39.44,43.61,41.83,42.7,48.84,31.93,52.79,38.81,25.4,22.95,23.97,33.2,.7395000000000001,12.73,.6015,3.705,12.61,43.4,21.86,33.72,18.32,23.97,77.22,67.06,73.90000000000001,83.99,35.64,36.68,38.22,43.25,39.38,36.72,38.11,38.14,46.81,42.56,36.23,46.06,39.15,47.52,35.64,45.04,36.54,28.97,52.39,42.2
17,213100,2400,7100,51000,43900,84500,1.452,1.037,1.853,1.679,.6265,30.92,55.6,33.01,28.77,30.97,41.33,29.48,49.84,31.1,38.99,43.48,39.65,43.84,41.98,42.9,50.15,32.38,53.77,39.56,26.49,22.42,24.72,33.1,.6067,12.76,.6172,3.723,12.76,43.72,21.3,32.88,17.57,24.42,78.61,65.2,75.65000000000001,83.78,36.99,36.95,38.06,43.4,39.54,37.35,38.49,38.29,46.84,42.59,36.85,45.77,39.85,47.81,36.93,45.04,36.64,29.07,52.59,42.38
18,213100,2400,7100,50500,43900,86500,1.452,1.037,1.834,1.679,.6413,31.56,55.5,33.28,28.89,31.16,41.51,32.09,47.99,30.88,39.68,43.97,39.94,44.25,42.21,43.22,51.86,32.78,54.56,39.2,26.15,23.57,24.7,33.13,.6381,12.72,.5591,3.507,12.95,44.2,21.37,32.31,17.55,23.91,77.26000000000001,67.41,75.26000000000001,84.2,36.79,36.37,39.43,45.25,39.81,37.4,38.65,38.5,47.06,42.86,36.95,46.58,39.54,47.5,36.84,45.7,36.7,29.3,52.95,42.68
19,213100,2400,7100,50000,43400,87500,1.452,1.037,1.816,1.661,.6488,31.54,56.1,33.25,29.21,31.31,41.7,33.09,47.82,31.25,40.33,44.42,40.27,44.72,42.61,43.65,52.27,31.7,55.07,39.93,25.68,23.05,25.29,33.22,.7773,12,.5297,3.464,13.13,44.43,19.63,32.45,16.61,24.05,77.34,66.56,76.09,85.02,36.31,36.67,39.12,44.11,39.77,37.77,38.81,38.79,47.56,43.25,37.26,47,40.15,48.06,37.09,46.09,36.84,29.36,53.34,42.7
20,213100,2500,6900,49500,43400,88500,1.513,1.008,1.799,1.661,.6561,32.95,56.02,33.47,29.31,31.46,41.84,34.49,50.53,31.32,39.41,44.56,40.5,44.87,42.95,43.88,51.83,32.59,55.36,41.03,26.01,22.59,24.86,33.69,.6469,11.4,.5393,3.259,12.97,44.7,20.71,31.43,17.12,23.7,78.36,64.33,75.91,85.94,37.04,36.47,39.25,44.48,40.12,37.97,39.09,39.04,47.79,43.5,37.45,47.14,40.38,48.32,36.88,45.93,36.64,29.36,53.33,43.13
21,213100,2400,7000,49000,42400,90500,1.452,1.023,1.781,1.623,.671,31.94,56.42,33.88,29.6,31.82,42.11,32.2,49.13,31.79,41.02,44.95,40.79,45.02,43.09,44.04,51.71,32.98,55.01,40.63,26.17,24.32,25.2,33.57,.6514,11.57,.4968,3.358,13.48,44.87,19.98,33.5,16.05,23.36,78.11,70.26000000000001,76.52,86.3,35.27,37.99,39.82,44.22,40.45,38.06,39.31,39.13,47.95,43.61,37.59,47,40.21,48.77,37.45,46.63,37.05,29.44,53.4,43.11
22,213100,2400,6900,48000,41900,92000,1.452,1.008,1.744,1.603,.6820000000000001,32.27,56.11,34.28,29.78,32.13,42.3,32.34,49.65,32.61,40.33,45.19,41.12,45.31,43.47,44.38,54.4,34.1,55.56,41.71,26.76,23.59,25.22,34.13,.5759,11.72,.4717,3.057,13.38,44.99,20.46,31.07,16.46,22.27,77.22,67.63,76.52,86.26000000000001,36.41,37.5,38.53,44.5,41.06,38.29,39.74,39.43,48.4,43.95,37.77,47.82,40.61,48.86,37.54,47.14,36.99,29.52,53.51,43.2
23,213100,2400,7000,47500,41900,93000,1.452,1.023,1.726,1.603,.6895,32.52,56.61,34.43,30.07,32.33,42.66,31.66,48.04,32.56,40.7,45.79,41.48,45.75,43.66,44.69,53.86,35.31,56.65,42.54,25.92,23.21,25.57,34.4,.6131,11.38,.495,3.156,13.44,45.54,20.06,31.93,16.09,21.72,77.18000000000001,66.8,76.84999999999999,86.77,38.72,37.49,40,43.63,41.29,38.75,40.06,39.71,48.52,44.2,38.18,47.9,41.07,49,38.79,47.45,36.95,29.56,53.75,43.42
24,213100,2400,7000,47000,41400,95000,1.452,1.023,1.707,1.583,.7044,32.86,56.61,34.45,30.03,32.29,42.93,33.24,49.41,31.96,41.18,45.82,41.8,46.19,44.15,45.15,54.18,35.46,56.61,41.77,26.65,22.46,25.13,34.4,.5586,11.11,.391,3.025,14,45.88,19.01,31.34,15.6,21.42,76.88,66.94,75.97,87.27,37.97,38.81,38.43,45.18,41.12,38.49,39.82,40,48.95,44.51,37.79,48.25,41.24,49.47,38.02,47.77,37.04,29.88,54.22,43.74
25,213100,2300,6900,46000,40400,97000,1.391,1.008,1.672,1.546,.7191,33.25,56.46,34.72,30.42,32.61,43.36,34,50,32.59,41.75,46.25,42.06,46.43,43.98,45.19,54.5,35.59,56.9,43.02,25.87,23.52,25.73,34.52,.5293,11.04,.3783,2.81,14.09,46.14,19.11,30.89,16.12,20.78,77.27,66.93000000000001,77.38,86.73,36.41,37.72,39.75,44.09,41.31,39.06,40.21,39.94,48.81,44.43,38.52,48.26,41.27,49.2,38.63,46.77,37.45,29.75,54.59,43.7
26,213100,2300,6900,45000,39900,98500,1.391,1.008,1.634,1.527,.7303,33.84,57.32,34.87,30.94,32.95,43.29,34.33,52.21,33,42,46.64,42.48,46.81,44.63,45.69,55.84,37.7,58.55,44.04,26.62,24.82,25.78,34.97,.5412,11.01,.4069,2.858,14.35,46.5,17.95,29.75,14.47,21.42,80.36,69.15000000000001,76.19,87.3,38.4,39.12,40.81,45.46,41.61,39.56,40.62,40.34,49.31,44.9,39.06,48.9,41.5,49.61,38.44,48.4,37.17,30.19,54.56,44.2
27,213100,2400,6900,45000,39400,100000,1.452,1.008,1.634,1.508,.7414,33.88,57.34,35.14,30.93,33.09,43.43,34.9,50.24,33.65,42.75,47.05,42.79,47.18,45.11,46.13,54.42,37.09,58.68,43.78,26.75,23.32,25.31,35.63,.5224,11.12,.4139,2.815,14.22,46.84,19.61,28.9,14.27,21.09,77.67,67.72,76.67,88.63,39.11,39.4,39.56,45.37,41.97,39.53,40.77,40.59,49.88,45.33,39.06,49.22,41.29,50.32,39.65,48.09,37.25,30.19,54.93,44.37
28,213100,2200,6800,43500,38900,102000,1.331,.9933,1.58,1.489,.7563,34.04,56.81,35.54,31.25,33.47,43.89,34.36,47.88,33.81,43.15,47.29,43.11,47.27,45.25,46.25,55.93,36,58.22,44.25,27.03,23.66,25.92,35.02,.4804,10.61,.477,2.639,14.63,47.15,17.68,29.78,14.27,19.67,80.06,67.45,76.61,87.93000000000001,39.68,38.7,40.94,45.04,42.3,39.81,41.11,40.65,49.97,45.4,39.22,49.41,41.84,50.35,39.63,47.64,37.38,30.42,55.06,44.51
29,213100,2300,6600,43000,37900,104500,1.391,.9642,1.562,1.45,.7748,33.69,57.09,35.67,31.23,33.51,43.93,34.4,50,33.59,42.93,47.58,43.4,47.81,45.6,46.68,56.02,38.29,59.38,45.29,26.38,23.81,26.01,35.22,.4523,10.34,.3849,2.611,14.77,47.58,17.86,28.42,14.25,20.31,78.58,67.98,77.7,88.23,38.5,39.45,40.63,45.46,42.31,39.79,41.09,41.03,50.21,45.69,39.18,49.59,41.77,50.62,40.06,48.29,37.55,30.52,55.54,44.72
30,213100,2300,6600,42000,37900,106000,1.391,.9642,1.526,1.45,.7858000000000001,34.24,57.34,36.09,31.84,34.02,44.43,34.61,52.25,33.96,42.97,48.05,43.84,47.95,46,46.96,56.78,38.41,59.02,45.06,27.48,25.04,26.4,35.54,.62,9.964,.3984,2.615,15.14,47.68,17.51,27.64,14.21,20.15,79.48,70.36,78.01000000000001,88.45,40.27,41,40.53,46.1,42.59,40.44,41.54,41.18,50.68,46.02,39.76,50.15,42.61,51,39.97,48.94,37.7,30.57,55.57,44.81
31,213100,2100,6700,40500,36900,108000,1.271,.9787,1.472,1.412,.8008,33.78,56.75,36.36,31.85,34.19,44.31,34.52,52.39,34.02,43.38,48.45,44.1,48.22,46.28,47.23,57.77,39.74,59.76,45.73,27.53,24.79,26.01,35.72,.4912,9.802,.3271,2.542,15.19,48,16.95,27.56,13.38,19.56,80.95,71.69,76.56,89.18000000000001,39.98,40.57,41.48,46.55,43.07,40.4,41.79,41.27,51.04,46.25,39.71,50.62,42.54,51.31,39.74,49.26,37.7,30.85,55.75,44.97
32,213100,2200,6400,39500,35900,110500,1.331,.9350000000000001,1.434,1.374,.8192,34.63,57.61,36.5,32.52,34.54,44.51,35.73,51.27,34.93,43.16,48.7,44.56,48.72,46.58,47.63,55.99,41.09,61.61,46.31,27.27,24.57,26.01,35.52,.4771,9.397,.368,2.381,15.39,48.5,18.22,26.72,12.72,18.63,79.36,68.31,78.18000000000001,88.23,39.67,39.54,41.21,46.05,43.25,41,42.15,41.52,51.18,46.43,40.38,50.34,42.9,51.7,41.39,48.95,37.81,31.11,56.13,45.34
33,213100,2200,6700,39000,35400,112000,1.331,.9787,1.417,1.355,.8303,35.11,57.52,36.61,32.88,34.79,44.72,36.08,54.38,35.01,43.65,48.97,44.72,48.54,46.73,47.63,57.28,40.18,60.43,46.73,27.55,26.71,25.97,35.86,.6165000000000001,9.281000000000001,.3817,2.403,15.49,48.36,16.96,25.56,13.4,18.86,80.2,72.62000000000001,77.94,89.18000000000001,40.84,41.72,41.43,46.64,43.4,41.56,42.51,41.59,51.5,46.59,40.93,51.13,43.36,51.7,40.57,49.5,37.59,30.94,55.9,45.25
34,213100,2200,6400,38000,34900,114000,1.331,.9350000000000001,1.381,1.335,.8453000000000001,35.46,57.15,37.13,32.72,34.99,45.07,35.97,51.36,35.2,43.22,48.91,45.09,49.04,47.04,48.02,59.26,41.75,61.15,47.14,27.1,25.48,26.59,35.86,.4609,9.380000000000001,.3461,2.216,16.01,48.79,16.43,26.65,13.09,17.79,78.31,71.51000000000001,78.93000000000001,89.23,40.18,41.59,41.77,47.02,43.89,41.27,42.61,41.93,51.63,46.87,40.68,51,42.86,51.97,40.92,49.44,38.04,31.16,56.31,45.55
35,213100,2100,6400,37000,33900,116500,1.271,.9350000000000001,1.343,1.297,.8637,35.25,57.96,37.47,32.88,35.23,45.22,36.9,50.72,35.37,44.48,49.47,45.46,49.5,47.22,48.34,60.84,41.34,61.12,47.2,27.17,24.72,26.12,35.75,.5167000000000001,9.047000000000001,.324,2.298,16.3,49.29,14.51,26.19,13,18.36,79.65000000000001,68.18000000000001,77.37000000000001,88.98,40.08,41.06,42.25,46.73,44.02,41.5,42.79,42.27,51.8,47.14,40.8,51.2,43.27,52.11,40.89,50.18,38.32,31.16,56.58,45.7
